customer_code,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome
UPLOAD-0001,53,admin.,married,secondary,no,808,yes,no,unknown,3,jun,6,-1,0,unknown
UPLOAD-0002,38,management,single,tertiary,no,142,yes,no,unknown,15,may,2,-1,0,unknown
UPLOAD-0003,39,housemaid,married,primary,no,43,yes,yes,unknown,20,jun,14,-1,0,unknown
UPLOAD-0004,40,admin.,married,secondary,no,-387,yes,no,telephone,8,may,3,296,5,failure
UPLOAD-0005,34,services,married,secondary,no,746,no,no,unknown,7,may,2,-1,0,unknown
UPLOAD-0006,34,blue-collar,married,secondary,no,70,yes,no,cellular,11,jul,2,-1,0,unknown
UPLOAD-0007,48,admin.,single,primary,no,1332,no,no,telephone,30,jul,2,-1,0,unknown
UPLOAD-0008,38,blue-collar,married,secondary,yes,-504,yes,no,unknown,7,may,1,-1,0,unknown
UPLOAD-0009,31,services,single,tertiary,no,-104,no,no,cellular,4,feb,2,-1,0,unknown
UPLOAD-0010,56,technician,married,primary,no,-188,no,no,cellular,16,jul,1,-1,0,unknown
UPLOAD-0011,53,blue-collar,married,primary,no,427,no,no,cellular,11,aug,5,-1,0,unknown
UPLOAD-0012,33,blue-collar,married,primary,no,905,yes,no,unknown,21,may,2,-1,0,unknown
UPLOAD-0013,51,blue-collar,married,secondary,no,2673,yes,no,cellular,14,may,2,-1,0,unknown
UPLOAD-0014,29,blue-collar,single,secondary,no,108,yes,no,unknown,7,may,4,-1,0,unknown
UPLOAD-0015,33,entrepreneur,divorced,secondary,no,864,yes,yes,cellular,16,apr,3,-1,0,unknown
UPLOAD-0016,49,management,married,tertiary,no,144,no,no,cellular,19,nov,3,-1,0,unknown
UPLOAD-0017,54,entrepreneur,married,primary,no,1958,no,no,unknown,17,jun,1,-1,0,unknown
UPLOAD-0018,52,management,married,tertiary,no,25781,no,no,cellular,14,aug,2,-1,0,unknown
UPLOAD-0019,44,management,married,tertiary,no,-233,yes,yes,telephone,24,jul,2,-1,0,unknown
UPLOAD-0020,57,retired,divorced,primary,no,2,no,no,unknown,18,jun,1,-1,0,unknown
UPLOAD-0021,55,services,married,secondary,no,1495,yes,no,telephone,7,may,2,357,1,other
UPLOAD-0022,62,retired,married,tertiary,no,83,no,no,cellular,25,aug,3,-1,0,unknown
UPLOAD-0023,37,technician,single,secondary,no,961,yes,no,cellular,8,apr,1,-1,0,unknown
UPLOAD-0024,30,technician,married,secondary,no,746,yes,yes,unknown,26,may,1,-1,0,unknown
UPLOAD-0025,56,retired,divorced,tertiary,no,2491,yes,no,unknown,15,may,1,-1,0,unknown
UPLOAD-0026,38,management,married,secondary,no,-335,no,no,cellular,21,aug,13,-1,0,unknown
UPLOAD-0027,26,management,single,tertiary,no,-17,yes,yes,cellular,16,apr,1,-1,0,unknown
UPLOAD-0028,50,management,married,tertiary,no,3093,yes,no,cellular,18,may,2,-1,0,unknown
UPLOAD-0029,47,technician,divorced,primary,no,2032,no,yes,unknown,3,jul,3,-1,0,unknown
UPLOAD-0030,35,management,divorced,tertiary,no,3148,no,no,cellular,13,aug,3,43,8,other
UPLOAD-0031,24,services,single,secondary,no,239,yes,no,unknown,29,may,4,-1,0,unknown
UPLOAD-0032,35,technician,single,tertiary,no,212,no,no,unknown,7,jun,1,-1,0,unknown
UPLOAD-0033,57,blue-collar,married,primary,no,294,no,no,unknown,5,jun,1,-1,0,unknown
UPLOAD-0034,57,unemployed,married,primary,no,3289,no,no,telephone,21,nov,1,-1,0,unknown
UPLOAD-0035,32,self-employed,married,tertiary,no,849,no,yes,cellular,3,feb,2,-1,0,unknown
UPLOAD-0036,60,management,married,tertiary,no,118,no,no,telephone,5,aug,2,-1,0,unknown
UPLOAD-0037,36,self-employed,married,tertiary,no,100,yes,no,cellular,6,may,2,-1,0,unknown
UPLOAD-0038,52,retired,divorced,primary,no,1101,no,no,unknown,20,jun,3,-1,0,unknown
UPLOAD-0039,57,retired,married,unknown,no,532,no,yes,unknown,3,jul,1,-1,0,unknown
UPLOAD-0040,37,services,married,primary,yes,117,yes,no,cellular,17,jul,7,-1,0,unknown
UPLOAD-0041,55,management,married,tertiary,no,4717,yes,no,unknown,14,may,1,-1,0,unknown
UPLOAD-0042,33,student,single,unknown,no,2541,no,no,cellular,2,aug,1,109,4,failure
UPLOAD-0043,44,management,divorced,secondary,no,70,yes,no,cellular,17,nov,1,-1,0,unknown
UPLOAD-0044,47,admin.,married,secondary,no,911,no,no,cellular,26,oct,1,91,4,failure
UPLOAD-0045,35,entrepreneur,single,secondary,no,454,yes,no,unknown,8,may,1,-1,0,unknown
UPLOAD-0046,44,services,single,unknown,no,71,yes,no,unknown,8,may,7,-1,0,unknown
UPLOAD-0047,54,blue-collar,married,secondary,no,2969,no,no,unknown,6,may,1,-1,0,unknown
UPLOAD-0048,27,technician,single,tertiary,no,-178,yes,no,cellular,20,apr,1,-1,0,unknown
UPLOAD-0049,36,technician,single,secondary,no,-43,no,no,cellular,2,feb,1,-1,0,unknown
UPLOAD-0050,33,management,single,tertiary,no,1372,yes,no,cellular,16,apr,3,248,2,other
UPLOAD-0051,40,blue-collar,single,tertiary,no,40,no,no,unknown,17,jun,5,-1,0,unknown
UPLOAD-0052,54,technician,married,secondary,no,-224,yes,no,unknown,16,may,3,-1,0,unknown
UPLOAD-0053,43,technician,single,secondary,no,600,no,no,cellular,19,nov,5,-1,0,unknown
UPLOAD-0054,38,blue-collar,married,secondary,no,1835,yes,no,cellular,7,may,1,-1,0,unknown
UPLOAD-0055,58,entrepreneur,married,primary,no,1028,yes,yes,telephone,12,may,6,337,6,failure
UPLOAD-0056,44,admin.,divorced,tertiary,no,407,yes,no,cellular,31,mar,2,-1,0,unknown
UPLOAD-0057,24,blue-collar,single,primary,no,-214,yes,no,unknown,13,may,2,-1,0,unknown
UPLOAD-0058,39,blue-collar,married,primary,no,620,yes,no,unknown,3,jun,3,-1,0,unknown
UPLOAD-0059,56,entrepreneur,married,secondary,no,7679,no,no,cellular,6,feb,2,-1,0,unknown
UPLOAD-0060,35,management,single,tertiary,no,163,no,no,cellular,29,jan,2,-1,0,unknown
UPLOAD-0061,29,management,single,tertiary,no,2322,yes,no,unknown,12,may,2,-1,0,unknown
UPLOAD-0062,34,blue-collar,married,secondary,no,3215,yes,no,cellular,30,jul,3,-1,0,unknown
UPLOAD-0063,45,technician,married,secondary,no,800,yes,no,cellular,14,jul,5,-1,0,unknown
UPLOAD-0064,54,management,married,tertiary,no,880,no,no,cellular,27,aug,4,-1,0,unknown
UPLOAD-0065,45,management,divorced,tertiary,no,3464,yes,no,unknown,27,may,2,-1,0,unknown
UPLOAD-0066,28,admin.,single,secondary,no,480,yes,no,cellular,12,may,9,362,8,other
UPLOAD-0067,31,blue-collar,married,secondary,no,3020,yes,no,unknown,23,may,2,-1,0,unknown
UPLOAD-0068,51,management,divorced,tertiary,no,-129,no,no,cellular,29,aug,2,-1,0,unknown
UPLOAD-0069,44,entrepreneur,married,tertiary,no,20179,yes,no,cellular,20,nov,5,-1,0,unknown
UPLOAD-0070,35,admin.,single,secondary,no,61,no,no,cellular,30,jan,3,228,14,other
UPLOAD-0071,61,retired,married,tertiary,no,5415,no,no,cellular,11,feb,3,-1,0,unknown
UPLOAD-0072,35,services,divorced,secondary,no,334,yes,no,cellular,15,jul,2,-1,0,unknown
UPLOAD-0073,28,technician,single,secondary,no,4,yes,no,cellular,29,jan,2,247,2,failure
UPLOAD-0074,24,admin.,married,secondary,no,43,yes,no,cellular,15,may,1,-1,0,unknown
UPLOAD-0075,33,technician,single,secondary,no,1623,yes,no,unknown,20,may,1,-1,0,unknown
UPLOAD-0076,60,technician,divorced,tertiary,no,-216,yes,no,unknown,27,may,1,-1,0,unknown
UPLOAD-0077,40,technician,single,unknown,no,-199,yes,no,unknown,6,may,2,-1,0,unknown
UPLOAD-0078,34,management,single,tertiary,no,131,yes,no,cellular,4,feb,2,246,6,failure
UPLOAD-0079,45,management,divorced,secondary,no,1386,yes,no,unknown,2,jun,7,-1,0,unknown
UPLOAD-0080,41,admin.,single,secondary,no,1537,no,no,unknown,20,jun,2,-1,0,unknown
UPLOAD-0081,29,blue-collar,married,secondary,no,969,yes,no,cellular,17,apr,2,-1,0,unknown
UPLOAD-0082,44,technician,married,secondary,no,1076,yes,no,cellular,17,nov,1,-1,0,unknown
UPLOAD-0083,40,services,divorced,secondary,no,48,no,yes,cellular,23,jul,1,-1,0,unknown
UPLOAD-0084,34,blue-collar,married,primary,no,255,no,no,cellular,28,jan,1,-1,0,unknown
UPLOAD-0085,58,services,single,primary,no,341,yes,no,unknown,15,may,2,-1,0,unknown
UPLOAD-0086,30,management,married,tertiary,no,1280,no,no,cellular,3,feb,2,90,1,success
UPLOAD-0087,49,management,single,tertiary,no,1936,no,no,telephone,9,feb,8,-1,0,unknown
UPLOAD-0088,41,admin.,married,secondary,no,166,no,no,unknown,28,may,3,-1,0,unknown
UPLOAD-0089,37,blue-collar,married,primary,no,295,yes,no,unknown,7,may,1,-1,0,unknown
UPLOAD-0090,35,technician,married,tertiary,no,783,no,no,cellular,22,aug,4,-1,0,unknown
UPLOAD-0091,33,blue-collar,married,secondary,no,5203,yes,no,cellular,18,may,9,363,2,failure
UPLOAD-0092,56,unknown,married,unknown,no,970,no,no,telephone,29,jul,4,-1,0,unknown
UPLOAD-0093,38,services,married,secondary,no,245,yes,no,unknown,23,may,2,-1,0,unknown
UPLOAD-0094,32,technician,single,tertiary,no,327,yes,yes,cellular,20,nov,1,-1,0,unknown
UPLOAD-0095,36,housemaid,single,unknown,no,4285,no,no,unknown,9,jun,3,-1,0,unknown
UPLOAD-0096,42,entrepreneur,married,primary,no,4998,no,no,cellular,7,jul,7,-1,0,unknown
UPLOAD-0097,24,blue-collar,single,secondary,no,70,no,yes,telephone,7,jul,3,-1,0,unknown
UPLOAD-0098,59,technician,married,secondary,no,23,no,no,cellular,10,jul,5,-1,0,unknown
UPLOAD-0099,33,management,married,secondary,no,360,yes,no,cellular,20,nov,1,-1,0,unknown
UPLOAD-0100,30,blue-collar,single,secondary,no,1220,yes,no,cellular,17,apr,3,329,1,failure
